worker_size,task_size,r1,solved1,t1,r2,solved2,t2,r3,solved3,t3,r4,solved4,t4,r5,solved5,t5
10,50,0.1371376062860857,1.0,0.0,0.1371376062860857,1.6666666666666667,0.0,1.555244044851169,3.0,0.22555152575174967,1.1867614972526468,2.5,0.20654678344726562,2.5008415157834922,4.0,0.27263641357421875
20,50,0.42245223560256023,6.666666666666667,0.0006667772928873698,0.4017655843823695,6.666666666666667,0.0,3.145993329978354,6.666666666666667,0.44016726811726886,2.438209904063026,5.666666666666667,0.2601781686147054,3.3580789365075097,8.333333333333334,0.3883812427520752
30,50,1.503408052356446,23.0,0.0,1.4827214011362553,25.333333333333332,0.0010086695353190105,4.701384952151491,10.333333333333334,0.4823002020517985,3.7738949533778228,8.666666666666666,0.3162692387898763,3.1376483253142413,8.333333333333334,0.4565947850545247
40,50,2.8978685900847,28.0,0.0006668567657470703,2.8771819388645095,29.666666666666668,0.0003333886464436849,7.5034795282869435,14.5,0.6253933906555176,6.521288674959548,12.5,0.42372822761535645,5.480188813483795,11.333333333333334,0.5310272375742594
50,50,4.526468982609964,33.333333333333336,0.0003333091735839844,4.958384314221609,33.0,0.0006666183471679688,9.512824584725546,20.0,0.7906293869018555,5.724780751972352,13.0,0.397795836130778,6.723213226985193,15.333333333333334,0.5559109846750895
60,50,5.379801318574818,36.333333333333336,0.001000801722208659,6.0232224881034435,36.0,0.0003330707550048828,10.356736654020047,22.0,1.020229458808899,5.513204478340223,14.0,0.4145054817199707,7.692270333757897,18.0,0.7002854347229004
70,50,6.4492008532404554,37.333333333333336,0.0006667772928873698,7.09262202276908,37.0,0.00034173329671223957,11.194921175333866,24.666666666666668,1.0833375453948975,5.081269597853931,12.666666666666666,0.43897080421447754,6.3448619956991745,15.666666666666666,0.7411306699117025
80,50,7.888137774840835,41.0,0.0010000069936116536,8.559842185782557,40.666666666666664,0.0010000864664713542,12.618350009153371,27.666666666666668,1.1837732791900635,6.862365712215787,17.333333333333332,0.5041849613189697,9.496155754255048,22.333333333333332,0.8805078665415446
90,50,9.42573751972118,41.333333333333336,0.0010091463724772136,9.767614386419027,41.0,0.0003333886464436849,14.080063660908243,30.0,1.3444910844167073,8.874967800942631,20.333333333333332,0.5038034121195475,11.051838299813156,24.666666666666668,0.9936323960622152
100,50,10.596729090775213,42.0,0.0010101795196533203,10.581128182097151,42.333333333333336,0.0009995301564534504,15.252653909489208,32.666666666666664,1.4711488882700603,10.205508257855756,23.0,0.6349926789601644,12.298724344264867,27.333333333333332,1.1189437707265217
50,100,6.110560128260066,60.666666666666664,0.0010101000467936199,6.312343940573822,61.666666666666664,0.001008749008178711,11.010113063844926,26.333333333333332,1.507604678471883,8.384289289422918,21.666666666666668,0.5049451192220052,10.589960098566323,25.333333333333332,0.9296104907989502
60,100,9.03866791579804,65.66666666666667,0.0010002454121907551,9.16787946208966,65.33333333333333,0.0010178883870442708,14.429548849452244,32.5,1.7643914222717285,10.49950726187672,24.0,0.5628154277801514,13.630343375773274,30.666666666666668,1.085048993428548
70,100,10.815563226106987,67.0,0.0013420581817626953,10.690256484747128,68.0,0.0010002454121907551,15.870500474078304,34.333333333333336,2.002810478210449,12.183528775559436,27.666666666666668,0.6466964880625407,13.486885555658468,30.333333333333332,1.142014980316162
80,100,12.428569187790794,69.33333333333333,0.001682599385579427,12.061530444098,70.0,0.0013327598571777344,17.66988761738366,38.0,2.396507819493612,13.380023977850803,30.0,0.7226046721140543,16.140370761982155,35.333333333333336,1.2514964739481609
90,100,14.438249616388232,69.33333333333333,0.0013333956400553386,13.64174543866736,74.0,0.0016740957895914714,19.483201054568777,42.0,2.6232453982035318,14.88753710042318,33.333333333333336,0.7621351083119711,17.214929044348978,38.333333333333336,1.3336832523345947
100,100,15.840269019745906,72.66666666666667,0.0013337135314941406,15.070465627898708,77.33333333333333,0.001676321029663086,21.853716113732148,48.0,2.910330653190613,16.629342401409016,37.666666666666664,0.8317511081695557,18.665049058095466,41.333333333333336,1.3414069811503093
110,100,17.768001729675458,75.0,0.001667340596516927,17.099035534011552,81.0,0.002013603846232096,24.02888609283284,50.666666666666664,3.2844972610473633,19.549746311962107,42.666666666666664,0.8431146144866943,22.720491974382178,48.666666666666664,1.7507676283518474
120,100,19.28479789205535,77.0,0.002342383066813151,18.90825625675908,83.33333333333333,0.0013427734375,24.955459075688115,53.666666666666664,3.6486028830210366,21.647328375024443,47.666666666666664,0.8966308434804281,23.86497922693542,52.333333333333336,1.6386786301930745
130,100,21.450337376153836,79.66666666666667,0.0020003318786621094,20.939585752879466,84.33333333333333,0.002012968063354492,24.828175977835727,53.0,4.193721055984497,19.970590372026546,45.666666666666664,0.9924970467885336,23.058887838429094,52.0,1.8683477242787678
140,100,22.546110392361733,82.33333333333333,0.0019997755686442056,22.073840266986956,86.66666666666667,0.0023412704467773438,28.402182748567938,62.5,4.594981551170349,22.979875658593862,52.0,1.4248566627502441,23.426480458233844,52.0,2.185499986012777
150,100,23.907371198717048,83.33333333333333,0.0023328463236490884,23.34273647749912,86.66666666666667,0.002667109171549479,28.99209824614812,63.5,5.302150130271912,24.581541188817596,54.0,1.6253444353739421,25.781069992087797,55.666666666666664,2.365703503290812
100,150,21.163235684941952,105.0,0.002000570297241211,19.60094476902558,110.66666666666667,0.0023500919342041016,28.90710515666182,56.666666666666664,4.561906655629476,19.092861575535114,40.333333333333336,1.0042991638183594,26.69944601749579,54.0,1.771778662999471
110,150,24.15799354777138,107.0,0.0020101070404052734,22.29505302142759,112.66666666666667,0.0023331642150878906,31.400270555652696,60.666666666666664,5.398417154947917,26.91910691091531,54.666666666666664,1.0694114367167156,26.93863975366618,57.0,2.000742197036743
120,150,25.816339090330207,108.33333333333333,0.0023451646169026694,24.775201888432868,112.0,0.0026769638061523438,33.173363165980476,66.5,5.632377505302429,26.47363003052557,55.333333333333336,1.2050922711690266,28.581061164646986,59.333333333333336,2.0945447285970054
130,150,28.115038249761845,111.0,0.0023415088653564453,27.482082823132505,114.33333333333333,0.002675135930379232,34.96255372520252,68.5,5.751063108444214,27.551300216372848,57.333333333333336,1.214755376180013,30.273923019211033,64.0,2.1339402993520102
140,150,29.417363581129845,114.33333333333333,0.002676804860432943,28.77295674476326,119.0,0.002674261728922526,38.257355930211574,74.0,6.945769429206848,33.95582726382936,70.0,1.475143035252889,33.69070117321241,68.66666666666667,2.7877020835876465
150,150,31.319561532726947,115.66666666666667,0.0026841958363850913,30.615030143873163,119.66666666666667,0.0030113855997721353,39.49460388927391,78.66666666666667,7.420037587483724,36.13312600555861,72.66666666666667,1.7516435782114665,35.49552913238043,71.66666666666667,2.700291315714518
160,150,33.16493599776365,118.0,0.0030105908711751304,32.015390113655755,120.33333333333333,0.0033620993296305337,40.78696651766113,85.0,11.119707345962524,37.388945684828755,76.66666666666667,2.1233043670654297,37.05132506033503,77.66666666666667,3.038569450378418
170,150,33.91721958862543,120.66666666666667,0.0030101140340169272,33.19441172585665,124.66666666666667,0.004017194112141927,42.88528672209036,83.33333333333333,9.137276887893677,34.9192615257694,74.0,2.2767343521118164,39.458532849041966,80.66666666666667,4.146871089935303
180,150,36.505323956093726,120.66666666666667,0.0033423900604248047,34.83017987340281,126.66666666666667,0.004018942515055339,44.52270032291847,88.0,9.198979616165161,38.775871124117735,81.0,2.5996437072753906,39.08687800022505,82.0,5.725887139638265
190,150,38.21849206466332,123.66666666666667,0.003676891326904297,37.462326639905044,132.0,0.00402069091796875,46.60907352165256,93.0,10.869728803634644,39.155031656369694,82.66666666666667,2.3796254793802896,41.813352863918894,88.66666666666667,5.0296792189280195
200,150,39.62576433106798,122.66666666666667,0.003674745559692383,38.94942961818074,132.0,0.004348913828531901,46.94737302638202,95.33333333333333,13.47774076461792,42.6302307998642,88.66666666666667,2.264407237370809,44.04366700265081,93.0,4.500227769215901
